15: 0 3 1 5 6 4 2
15: 0 3 1 6 2 4 5
12: 0 3 1 6 2 5 4
18: 0 3 1 6 4 2 5
15: 0 3 1 6 4 5 2
15: 0 3 1 6 5 2 4
18: 0 3 1 6 5 4 2
3: 0 3 2 1 4 5 6
12: 0 3 2 1 4 6 5
6: 0 3 2 1 5 4 6
9: 0 3 2 1 5 6 4
9: 0 3 2 1 6 4 5
6: 0 3 2 1 6 5 4
12: 0 3 2 4 1 5 6
15: 0 3 2 4 1 6 5
9: 0 3 2 4 5 1 6
18: 0 3 2 4 5 6 1
12: 0 3 2 4 6 1 5
15: 0 3 2 4 6 5 1
9: 0 3 2 5 1 4 6
12: 0 3 2 5 1 6 4
6: 0 3 2 5 4 1 6
15: 0 3 2 5 4 6 1
9: 0 3 2 5 6 1 4
12: 0 3 2 5 6 4 1
18: 0 3 2 6 1 4 5
15: 0 3 2 6 1 5 4
15: 0 3 2 6 4 1 5
18: 0 3 2 6 4 5 1
12: 0 3 2 6 5 1 4
21: 0 3 2 6 5 4 1
6: 0 3 4 1 2 5 6
15: 0 3 4 1 2 6 5
9: 0 3 4 1 5 2 6
12: 0 3 4 1 5 6 2
12: 0 3 4 1 6 2 5
9: 0 3 4 1 6 5 2
9: 0 3 4 2 1 5 6
18: 0 3 4 2 1 6 5
12: 0 3 4 2 5 1 6
15: 0 3 4 2 5 6 1
15: 0 3 4 2 6 1 5
12: 0 3 4 2 6 5 1
12: 0 3 4 5 1 2 6
15: 0 3 4 5 1 6 2
9: 0 3 4 5 2 1 6
18: 0 3 4 5 2 6 1
12: 0 3 4 5 6 1 2
15: 0 3 4 5 6 2 1
21: 0 3 4 6 1 2 5
18: 0 3 4 6 1 5 2
18: 0 3 4 6 2 1 5
21: 0 3 4 6 2 5 1
15: 0 3 4 6 5 1 2
18: 0 3 4 6 5 2 1
9: 0 3 5 1 2 4 6
12: 0 3 5 1 2 6 4
12: 0 3 5 1 4 2 6
15: 0 3 5 1 4 6 2
15: 0 3 5 1 6 2 4
12: 0 3 5 1 6 4 2
12: 0 3 5 2 1 4 6
15: 0 3 5 2 1 6 4
9: 0 3 5 2 4 1 6
18: 0 3 5 2 4 6 1
12: 0 3 5 2 6 1 4
15: 0 3 5 2 6 4 1
15: 0 3 5 4 1 2 6
18: 0 3 5 4 1 6 2
12: 0 3 5 4 2 1 6
21: 0 3 5 4 2 6 1
15: 0 3 5 4 6 1 2
18: 0 3 5 4 6 2 1
18: 0 3 5 6 1 2 4
21: 0 3 5 6 1 4 2
15: 0 3 5 6 2 1 4
18: 0 3 5 6 2 4 1
18: 0 3 5 6 4 1 2
21: 0 3 5 6 4 2 1
12: 0 3 6 1 2 4 5
9: 0 3 6 1 2 5 4
15: 0 3 6 1 4 2 5
12: 0 3 6 1 4 5 2
12: 0 3 6 1 5 2 4
15: 0 3 6 1 5 4 2
15: 0 3 6 2 1 4 5
12: 0 3 6 2 1 5 4
18: 0 3 6 2 4 1 5
15: 0 3 6 2 4 5 1
15: 0 3 6 2 5 1 4
18: 0 3 6 2 5 4 1
18: 0 3 6 4 1 2 5
15: 0 3 6 4 1 5 2
15: 0 3 6 4 2 1 5
18: 0 3 6 4 2 5 1
18: 0 3 6 4 5 1 2
21: 0 3 6 4 5 2 1
15: 0 3 6 5 1 2 4
18: 0 3 6 5 1 4 2
12: 0 3 6 5 2 1 4
15: 0 3 6 5 2 4 1
15: 0 3 6 5 4 1 2
18: 0 3 6 5 4 2 1
15: 0 4 1 2 3 5 6
18: 0 4 1 2 3 6 5
12: 0 4 1 2 5 3 6
